"elevation" "plot" "site.plot" "group" "genus" "species" "cover.original" "cover.adjusted" "rel.cover.adjusted" "SLA" "fixedSLA" "rel.SLA" "rel.fixedSLA"
"1120" 1 "1120p1" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1120" 3 "1120p3" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1120" 4 "1120p4" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1120" 5 "1120p5" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1240" 1 "1240p1" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1240" 2 "1240p2" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1240" 3 "1240p3" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1240" 4 "1240p4" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1240" 5 "1240p5" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1360" 1 "1360p1" "bryo" "Anastrophyllum" "anas.min" 0.125 0 0 NA NA 0 NA
"1360" 2 "1360p2" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1360" 3 "1360p3" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1360" 4 "1360p4" "bryo" "Anastrophyllum" "anas.min" 0.125 0 0 NA NA 0 NA
"1360" 5 "1360p5" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1480" 1 "1480p1" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1480" 2 "1480p2" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1480" 3 "1480p3" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1480" 4 "1480p4" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1480" 5 "1480p5" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1600" 1 "1600p1" "bryo" "Anastrophyllum" "anas.min" 0.125 0 0 NA NA 0 NA
"1600" 2 "1600p2" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1600" 3 "1600p3" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1600" 4 "1600p4" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1600" 5 "1600p5" "bryo" "Anastrophyllum" "anas.min" 0 0 0 NA NA 0 NA
"1120" 1 "1120p1" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
"1120" 2 "1120p2" "bryo" "Conostomum" "cono.tet" 0 0 0 NA NA 0 NA
